title,etymology,part_of_speech,definition,source
ԾԵՂ,Etymology needs research,,տե՛ս Ծիլ։,merge_complete.py
ԾԵՐԻԼ,Etymology needs research,,"«թանաքի պտղիլը՝ տարածուիլը թղթի վրայ», ունին միայն ՀՀԲ, ՋԲ և ԱԲ. նոյնը գիտէ նաև Rivola ծերել «latius",merge_complete.py
ԾԵՐՊ,Etymology needs research,,", ի հլ. «ծակ, ճեղք, բացուածք, պա-տառուածօ» ՍԳր. Եզն. կոչ. 215. որից նե-ղածերպ Ագաթ. քարածերպ ՍԳր. Ագ",merge_complete.py
ԾԵՐՔԵԼ,Etymology needs research,,. անստոյգ բառ. մէկ անզամ ու-նի Սարկ. տոմար. «Ի չորիրն օր տարրա-ցոյց զլոյսն... ծերքել զփռումն լուսնին,merge_complete.py
ԾԵՒԷ,Etymology needs research,,"«օրէ», ԾՈՒԷ «ուրէ». այսպէս ունի Բառ. երեմ. էջ 149 և 151. ինչ լինելը չէ՛ յայտնի։",merge_complete.py
ԾԵՔ,Etymology needs research,,"«ծուռ, թիւր». արմատ առանձին ան-գործածական, որից ծեքել «ծռել, ծռմռկել, խօսքը խեղաթիւրել» Ոսկ. ես. և հ",merge_complete.py
ԾԻԱԾԱԿ,Etymology needs research,,«խայտառակ». ունի միայն Բառ. երեմ. էջ 149։,merge_complete.py
ԾԻԱԾԱՆ,Etymology needs research,,", ի-ա հլ. «ծիրանի գօտի, աղեղ-նակ» Կիւրղ. ծն. Յայտ. ժ. 1. Փարպ. Արծռ. «լուսնի բակ» Հին բռ. որից ծիածա",merge_complete.py
ԾԻԹՆԱՑ,Etymology needs research,,"«տաշտաթաղ անելու ճիւղ»» ան. ստուռ նորագիւտ բառ, որ մէկ անգամ ունի Վստկ. 130 «Կապեա պինտ և աղէկ թաղետ",merge_complete.py
ԾԻԾ,Etymology needs research,,տե՛ս Ծուծ։,merge_complete.py
ԾԻՂ,Etymology needs research,,տե՛ս Ծիլս,merge_complete.py
ԾԻՐԱՄԾՂՕՐ,Etymology needs research,,տե՛ս Ծինամծղոր։,merge_complete.py
ԾԼԵՐ,Etymology needs research,,«վաղամեռուկ խոտը» Բժշ. ունի մի-այն ՀԲուս. § 1202։,merge_complete.py
ԾԼԻԼ,Etymology needs research,,"«կոտրուիլ, ջարդուիլ». նորագիւտ բառ, որ մէկ անգամ գործածուած եմ գըտ-նում Ոսկ. պօղ. Ա. 376 «Եթէ յադամա",merge_complete.py
ԾԼՈՒԿ,Etymology needs research,,"«ծառա՞յ». նորագիւտ բառ, որ մէկ անգամ գտնում եմ գործածուած Ուռհ. էջ 422 «Ունելով ընդ իւր մարդս հազար,",merge_complete.py
ԾԽՈՂՆԻԼ,Etymology needs research,,տե՛ս Ծղխնի։,merge_complete.py
ԾԾԴԵԼ,Etymology needs research,,", անյայտ նշանակութեամբ բառ, որ մէկ անգամ ունի Բառ. երեմ. էջ 198 ճղճմել բառի բացատրութեան մէջ. այսպէս",merge_complete.py
ԾԾՏԵԼ,Etymology needs research,,". անյայտ նշանակութեամբ բառ, որ մէկ անգամ գտնում եմ գործածուած Բառ. երեմ. էջ 247՝ շնկճել բառի բացա-տը",merge_complete.py
ԾԿԻԿ,Etymology needs research,,", ԾԿՈՅԹ տե՛ս Ճկոյթ։",merge_complete.py
ԾԿԾԿԵԼ,Etymology needs research,,"«ձայն հանել կամ խռովել». ու-նի միայն Բառ. երեմ. էջ 150, որից առնում է ՓԲ «աղաղակել, գոչել» նշանակութ",merge_complete.py
ԾԿՐԱԼ,Etymology needs research,,"«կերածը վեր տալ, զկռտալ, ձգըռ-տալ». ունին միայն ՋԲ և ԱԲ, առանց վևա-յութեան։",merge_complete.py
ԾԿՐԱՒՈՐԻ,Etymology needs research,,"«Հրատ մոլորակը». ձևով ան. ստոյգ բառ, որովհետև գրուած է ծկրաւորի, ծկաւորի Զքր. կթ. Տոմար. ծպաւոր Մեկն",merge_complete.py
ԾՂԻ,Etymology needs research,,"(ծղւոյ, ծղեաց), մանաւանդ անեզա-կան ծղիք (գրուած նաև ծղիկ, ծղուկ, ծղին, ծղիկք) «ամբողջ դաստակը՝ ձեռքը",merge_complete.py
ԾՂՆԻ,Etymology needs research,,"«ծիծռան նման թռչուն ծովային, ալկիոն, alcyon». ունի միայն Նորայր, Բառ. ֆր. էջ 41 ա, իբր մհյ. բառ։",merge_complete.py
ԾՂՈՏ,Etymology needs research,,տե՛ս Ծիլ։,merge_complete.py
ԾՄԱԿ,Etymology needs research,,", ի-ա հլ. «արև չտեսած՝ շուք տեղ ձորի մէջ» Եզն. Մամիկ. Վստկ. 48. որից ձմակային «ձորային անարև տեղ» Ճա",merge_complete.py
ԾՄԻՆ,Etymology needs research,,"«փոքրիկ շնչահան, տճկ. նէֆէս. լիք». նորագիւտ բառ, որ մէկ անգամ ունի Վստկ. էջ 122 «Ծեփեա՛ զբերանն և փո",merge_complete.py
ԾՄՐԻԼ,Etymology needs research,,"«լքանիլ, վհատիլ, տխրիլ» Ոսկ փիլիպ. գ. Մանդ. Պիտ. Փիլ. իմաստ. 77. Պտմ. աղէքս. 111. որից ծմրաբարձ «ծան",merge_complete.py
ԾՆԳՈՐԾ,Etymology needs research,,"«խորշ». նորագիւտ բառ, որ աւ-նի միայն Բառ. երեմ. էջ 150։ Բայց այս «խորշ» բառով պէտք է հասկանալ ո՛չ թէ",merge_complete.py
ԾՆԾԱԼ,Etymology needs research,,«ճենճերել կամ երևիլ». ունի մի այն Բառ. երեմ. էջ 15Ո.,merge_complete.py
ԾՆԾԱՏ,Etymology needs research,,"«չալթուկ, դեռ կճեպից չհանուած բրինձ». նորագիւտ բառ, որ մէկ անգամ գոր-ծածել է Կիր. էջ 219 «Պահանջէին ",merge_complete.py
ԾՆԾՂԱՐ,Etymology needs research,,"«մի տեսակ բոյս, գետնի աստղ, լատ. asperula odorata» Բժշ. ունի միայն ՀԲոլս. § 1212։",merge_complete.py
ԾՆԾՈՅ,Etymology needs research,,", ԾՆԾՈՑ տե՛ս Ծանծ։",merge_complete.py
ԾՆԿԱՍԷՐ,Etymology needs research,,"«պարկեշտ, ընտանեսէր». մէկ անգամ ունի Գ. մակ. դ. 6 «Ամրածածուկ թօղաձիգ ծնկասէր հարսունք վարսս մեր-կաց",merge_complete.py
ԾՆԿԻԼ,Etymology needs research,,". «ծիւրիլ, մաշիլ, տա-ռապիլ» Վեցօր. 85. Եզն. Ոսկ. մտթ. Եփես. և ես. 205. որից ծնկոտ «թոյլ, ծոյլ» Կանոն",merge_complete.py
ԾՆՔԵԼ,Etymology needs research,,«դրոշմել կամ հաստատել». ունի միայն Բառ. երեմ. էջ 150 (եթէ չէ շփոթու-ած Կնքել բառի հետ)։,merge_complete.py
ԾՈԾՈՐԱԿ,Etymology needs research,,"«գլխի կամ պարանոցի ետևի կողմը» Ագաթ. Ճառընտ. (Ագաթ. այլ ձեռ. ծոծրակ, ծործորակ). արդի գրականում ընդու",merge_complete.py
ԾՈՅ,Etymology needs research,,", ո հլ. «գիրկ, գոգ, խորշ» ՍԳր. Սե-բեր. որից ծոցածին Պիտ. Շար. ծոցածագե-նի Նար. տաղ. նոր բառեր են ծով",merge_complete.py
ԾՈՅԼ,Etymology needs research,,"(յետնաբար ի, ի-ա հլ.) «անաշխա-տասէր» Սիրաք. ժա. 11. Յայտ. իա. 8. Պիտ Խոր. որից ծուլանալ Ագաթ. ծուլալ",merge_complete.py
ԾՈՆ,Etymology needs research,,"անստուր բառ. ունի միայն ՀԲուս. § 1215, հետևեալ բացատրութեամբ. «Բժըշ-կարան մի ստէպ յիշէ զծոն բժշկաց, ",merge_complete.py
ԾՈՊ,Etymology needs research,,", ի հլ. (յետնաբար նաև ի-ա հլ.) «զգեստի ծայրի վերջաւորները կամ փնջերը» Թուոց ժե. 38, 39, Օր. եբ. 12. ",merge_complete.py
ԾՈՎ,Etymology needs research,,. ու հւ. «ծով. 2. ջրի մեծ աւազան. 3. Արևմուտք. (Միջերկրական ծովի աատճա-ռաւ՝ որ Պաղեստինի արևմուտքն է,merge_complete.py
ԾՈՐԻԼ,Etymology needs research,,"«նեխիլ, հոտիլ, ապականիլ» Կե-չառ. աղէքս. 190։",merge_complete.py
ԾՈՒԱՐԻԼ,Etymology needs research,,"«ամփոփուիլ, կծկուիլ, հաւա-քուելով պահվտիլ» Օրբել. լե. հրտր. Էմ. էջ 119. նոյն նշանակութեամբ է նաև Մագ",merge_complete.py
ԾՈՒԵԼ,Etymology needs research,,«մաղելու մի առանձին ձև է» ն.. րագիւտ բառ՝ որ մէկ անգամ գտնում եմ գործածուած Բանք աղ. 186։-Կենդանի ե ,merge_complete.py
ԾՈՒԷՆ,Etymology needs research,,տե՛ս Ծիւ։,merge_complete.py
ԾՈՒԿԱԼ,Etymology needs research,,". անստոյգ բառ, որ մէկ անգամ գործածուած է Գ. մակ. ա. 8 «Նա ծուկայր ոչինչ թուլանայր» (var. նածուկայի, ",merge_complete.py
ԾՈՒՂԱԿ,Etymology needs research,,", ի-ա հլ. «որոգայթ, թակարդ» Առակ. զ. 5, է. 23, Ժող. թ. 12, Մծբ. Եփր. թգ. 394. գրուած է նաև ծօղակ, ծո",merge_complete.py
ԾՈՒՓ,Etymology needs research,,"«ջրերի տատանիլ ալեկոծուիլը. 2, փխբ. հոգս, ներքին շփոթութիւն, սրտի ան-հանգստութիւն. 3. խուզարկութիւն,",merge_complete.py
ԾՈՓՈՐ,Etymology needs research,,"«սեան թակաղաղի այն մասը՝ որ գտնւում է քովթարի և պսակի միջև. frise». իբրև նոր բառ ունի Նորայր, Բառ. ֆ",merge_complete.py
ԾՊԱՒՈՐ,Etymology needs research,,տե՛ս Ծկրաւորի։,merge_complete.py
ԾՊԵՂ,Etymology needs research,,«հեծան տանեաց յորոյ վերայ հաս-տատին նեղ և նուրբ տախտակք և զնոքօք կղմինտր կամ հերձաքար ֆրանս. chevron,merge_complete.py
ԾՊՆԵԼ,Etymology needs research,,"«լաւ կապել, կպցնել, վրան փակ-ցընել». մէկ անգամ ունի Բ. թագ. ի. 8 «Սուսեր ընդ մէջ ծպնեալ առ միջովն պա",merge_complete.py
ԾՊՏԻԼ,Etymology needs research,,"«հագուստը՝ ձևը՝ կերպարանքը փոխել» Ա. թագ. իը. 8. «հարուածից կամ վտանգից զգուշանալու համար ծռիլ, փախ-",merge_complete.py
ԾՌԿՏԵԼ,Etymology needs research,,տե՛ս Զգեռտ։,merge_complete.py
ԾՐԴԻ,Etymology needs research,,տե՛ս Ցիրռ։,merge_complete.py
ԾՐԴԻԼ,Etymology needs research,,"«աղտեղութեան մէջ թաթախուիլ մալակոնուիլ» Երեմ. բ. 22. Մանդ. նար. էջ 3, Լմբ. սղ. որից ծրդեալ «կեղտոտ» ",merge_complete.py
ԾՐՈՒՆՔ,Etymology needs research,,տե՛ս Ծունգ։,merge_complete.py
ԾՕԾ,Etymology needs research,,«փուշ». ունի միայն Բառ. երեմ. էջ 151։ Սրա հետ նոյն է ըստ Ս. Մովսիսեան (նամակ 1929 օգոստ. 28) Բլ. գոն,merge_complete.py
ԾՖՈՒԼ,Etymology needs research,,"«կրօնաւորի գլխանոց». նորագիւտ բառ, որ երկու անգամ գտնում եմ գործած-ուած Տաթև. ամ. 175 և 704 «Մոնուոն",merge_complete.py
ԿԱԳ,Etymology needs research,,", ո հլ. (յետնաբար կայ նաև սեռ. -ի) «վէճ, կռիւ» Սիր. իէ. 15, 16. իը. 10 (բց. ի կագոյ). Ոսկ. ես. Եփր. ",merge_complete.py
ԿԱԶԴՈՅՐ,Etymology needs research,,". արմատ առանձին անդործա-ծաևան, որից կազմուած են՝ կազդուրել «զօ-րացնել, ուժեղացնել» Ծն. լգ. 14. Ես. խ",merge_complete.py
ԿԱԶՄՈՐ,Etymology needs research,,"«ծաթրին, ուրց» ԱԲ. «մի տե-սակ ցածր թուփ. acasos?» Լեհ. (ՀԲուս. § 1238 մեենում է ruscus) կազմոր, կազմ",merge_complete.py
ԿԱԹ,Etymology needs research,,«պղինձ». ունի միայն Բառ. երեմ. էջ 152. -արդեօք կաթսայ բա՞ռն է։,merge_complete.py
ԿԱԹԱԼԻԿԷ,Etymology needs research,,տե՛ս Կաթողիկէ։,merge_complete.py
ԿԱԹԵԼ,Etymology needs research,,". անստոյգ բառ. մէկ անգամ ունի Բուզ. դ. 24 «Ընդ այլ կաթել ասպատակ յաշխարհն Հայոց առնէին»։ ՆՀԲ, ՋԲ և Ա",merge_complete.py
ԿԱԹԻԼ,Etymology needs research,,տե՛ս Կաթ։,merge_complete.py
ԿԱԹԼՈՒԿ,Etymology needs research,,«սուղ ինչ առասպել». ունի մի-այն Բառ. երեմ. էջ 152. ի՛նչ լինելը յայտ-նի չէ։,merge_complete.py
ԿԱԹՓԵԼ,Etymology needs research,,"«չամիչը մաքրել». նորագիւտ բառ, որ մէկ անգամ գտնում եմ գործա-ծուած Մխ. բժշ. 147 «Ա՛ռ սպիտակ չամիչ կաթ",merge_complete.py
ԿԱԺ,Etymology needs research,,տե՛ս Կասկած։,merge_complete.py
ԿԱԼ,Etymology needs research,,«եենալ» տե՛ս Կայ։,merge_complete.py
ԿԱԼԱԱԴԱ,= Անշուշտ եբրայեցերէն բառ է։,,". անստոյգ նորագիւտ բառ, որ մէկ անգամ գտնում եմ գործածուած Սասն 57. «կարգ, կանոնք, կէէդամ, կալաադա յա",Calfa lexical-databases: etymology/etymology01.xml
ԿԱԼԱԼ,Etymology needs research,,"«բռինչ պտուղը, լտուտ. eeltis australis, տճկ. չէքլէմպիճ» Գաղիան. ունի միայն Բառ. երեմ. յաւել. 567 և Հ",merge_complete.py
ԿԱԼԱՆԴ,Etymology needs research,,«կոտրած անդա-մի կապ». մէկ անգամ ունի Լաբուբ. 4Ո «Դնել կաղանդս բեկելոցն և պահել անա-րատ զողջսն». որից,merge_complete.py
ԿԱԼԱՇ,Etymology needs research,,. անստոյգ բառ. մէկ անգամ ունի Ոսկիփ. «Ի շուռ ածել՝ որ ճանաչեն թէ կա-լաշ ես».,merge_complete.py
ԿԱԼԱՏՐԻՍ,Etymology needs research,,տե՛ս Քարադր։,merge_complete.py
ԿԱԼԿԱՏԱՐ,Etymology needs research,,տե՛ս Ղլկնդում։,merge_complete.py
ԿԱԼՀՄԱՐ,Etymology needs research,,տե՛ս կաշհմար։,merge_complete.py
ԿԱԼՈՆ,Etymology needs research,,"«սեղեխ, հոմանի». նորագիւտ բառ, որ մէկ անգամ գտնում եմ գործա-ծուած Բառ. երեմ. էջ 285 սեղեխ բառի ռա-ցա",merge_complete.py
ԿԱԽ,Etymology needs research,,«կախուած». կայ միայն ի կախ Մագ. Լմբ. եկեղ. Շնորհ. որից կախել ՍԳր. Վեցօր. Ագաթ. Եփր. Եբր. Եւս. պտմ. կ,merge_complete.py
ԿԱԽՈՍ,Etymology needs research,,"«ևարոս կամ կապնդեղ բոյսը». ունի միայն Տիրոյեան, Հանրագրութ. 217 և 248 (տառասխալ չէ.) աղբիւրը անյայտ։",merge_complete.py
ԿԱԽՐԱՀԱՆ,Etymology needs research,,". անստոյգ բառ. մէկ անգամ ունի Վստկ. 221, որ խօսելով վայրահաջ շան մասին ասում է. «Ի կախրահան ձանձ-րաց",merge_complete.py
ԿԱԾԱՆՔ,Etymology needs research,,"«գարդ կանանց», որից կածնել «զարդարուիլ». աղբիւրն է Քաջունի, Ե. 112, որի աղբիւրը անյայտ է։",merge_complete.py
ԿԱԾԻՆ,Etymology needs research,,"«գրիչ». ունի միայն Բառ. եռեմ էջ 152, որից առնելով նաև ՓԲ. այս բառից է կածնական «գրչագրական» Մագ. թղ.",merge_complete.py
ԿԱԾՆԻԶԱՐ,Etymology needs research,,«կարմիր կուռաս». այսպէս ունի Բառ. երեմ. էջ 153։,merge_complete.py
ԿԱԿԱՆՍ,Etymology needs research,,«անխօնս». ունի միայն Բառ. ե. րեմ. էջ 153. ի՛նչ լինելը յայտնի չէ։,merge_complete.py
ԿԱԿԱՒԻԼ,Etymology needs research,,«խաչափայտ բոյսը. լտ. paco-nia» Բժշ. ունի միայն ՀԲուս. § 1258։,merge_complete.py
ԿԱԿԱՒԻԿ,Etymology needs research,,«մի տեսակ անծանօթ բոյս» Բժշ. ունի միայն ՀԲուս. § 1259։,merge_complete.py
ԿԱԿԵԼ,Etymology needs research,,"«կաթոգնիլ, կողկո-ղիլ», ունի միայն Բառ. երեմ, էջ 153 և 1ԲՈ (եթե չէ վրիպակ գրչութիւն՝ փխ. կղկղել. տե՛ս",merge_complete.py
ԿԱԿԻԱ,Etymology needs research,,տե՛ս Ախախիա։,merge_complete.py
ԿԱԿՈՒԼ,Etymology needs research,,«հոռմցի ցորեան» Ամիրտ. ունի միայն ՀԲուս. § 1264։,merge_complete.py
ԿԱԿՈՒՂ,Etymology needs research,,", ո հլ. «փափուկ» ՍԳր. Ոսկ. ես. որից կակղել Ես. իը. 25. Ոսկ. մտթ. կակ-ղանալ ՍԳր. Մծբ. Եփր. ել. և թգ. ",merge_complete.py
ԿԱԿՎՈՐԴԻԿ,Etymology needs research,,«չաման». լեհահայ մի բառ-գրքից առնելով գիտէ միայն ՀԲուս. § 1266։,merge_complete.py
ԿԱՀ,Etymology needs research,,", ի, ու հլ. «գործիք, կարասիք, ինչք» ՍԳր. Եւս. քր. որից կահ ունել «գործի բըռ-նել» Ոսկ. բ. կոր. կահակա",merge_complete.py
ԿԱՀՈՅՐ,Etymology needs research,,"«ջրի աման, սափոր» Բուզ. 170 ուրիշ վկայութիւն չկայ։",merge_complete.py
ԿԱՀՐԱՅ,Etymology needs research,,"«բռնի, բռնութիւն». նորագիւտ բառ, որ մէկ անգամ գործածում է Անսիզք. էջ 63 (Դարպասն ի կահրա պատեհ է որ ",merge_complete.py
ԿԱՂ,Etymology needs research,,"«փորիբաց նափորտ կամ շուրջառ եկեղեցականաց». նորագիստ բառ, որ ունի Ապարանեցին (1410 թուից). «Զկերպասեա",merge_complete.py
ԿԱՂԱԲՈՅՍ,Etymology needs research,,"«կոճղէզաւոր բոյս, ծաղկի սոխ». ունին միայն ՀՀԲ, ՋԲ և ՀԲուս. § 1267, իբր նոր բառ։ Սրանցից աւելի հին է ",merge_complete.py
ԿԱՂԱՅԱԹ,Etymology needs research,,«եկեղեցիք». ու-նի միայն Բառ. երեմ. էջ 15. երկու ձևերից մին կամ միւսը վրիպակ է։,merge_complete.py
ԿԱՂԱՆԴԵԼ,Etymology needs research,,տե՛ս Կալանդ։,merge_complete.py
ԿԱՂԱՆՉԱՆՆ,Etymology needs research,,"(սեռ. -չանան) «կաթնաբեր և Աունաւոր մի բոյս. tithymalis, տճկ. սիւտ-լիւյէն (ըստ այլոց euphorbia hernia",merge_complete.py
ԿԱՂԿ,Etymology needs research,,«կապիճ կամ ստացուած». ունի միայն Բառ. երեմ. էջ 153. բայց անդ՝ էջ 158 գրւում է կարկ «կապիճ կամ ձգեաց ,merge_complete.py
ԿԱՂԿԱՂ,Etymology needs research,,«խաղաղ կամ կաղթ կամ շալակ կամ վաշխ». ունի միայն Բառ. երեմ. էջ 153։,merge_complete.py
ԿԱՂԿԱՋ,Etymology needs research,,տե՛ս Կարկաչ։,merge_complete.py
ԿԱՂՃ,Etymology needs research,,"«վնասակար մի բոյս, որոմ» Գիրք թղ. որից առնելով ունի միայն ՀԲուս. § 1272, յիշեցնելով միաժամանակ գաղձ ",merge_complete.py
ԿԱՂՄԻ,Etymology needs research,,"«մախաղ». որից կաղմինոս «շալակաւոր». բոլորն էլ ունի մի-աւն Բառ. երեմ. էջ 153, 166։",merge_complete.py
ԿԱՂՆՈՒՏ,Etymology needs research,,"«մի տեսակ սէզ». ունի միայն ԱԲ։ Իբրև գւռ. բառ յիշում է Նորայր, Բռ. ֆրանս. arrête bocuf «խիստ խորարմատ",merge_complete.py
ԿԱՂՇՆԱԿ,Etymology needs research,,տե՛ս Կաղանչանն։,merge_complete.py
ԿԱՂՏԻ,Etymology needs research,,«նաւակատեաց մի ուտելիք է». մէկ անգամ յիշուած է Մանդ. էջ 210=Գիրք թղ. էջ 239=Մանդ. սիր. 13 նաւակատեաց,merge_complete.py
ԿԱՂՏԻԼ,Etymology needs research,,"«լեզուն կապուիլ». նորագիւտ բառ, որ մէկ անգամ գտնում եմ ոռռծած-եւած ժէ դարից մի տաղի մէջ (Կարողու-թիւ",merge_complete.py
ԿԱՃ,Etymology needs research,,"«նուրբ» Հին բռ.=Բառ. երեմ. էջ 153. յիշում է միայն ՆՀԲ, կաճ «թաղիք» բառի տակ։-Տե՛ս և կաճիտ.",merge_complete.py
ԿԱՃԱՊ,Etymology needs research,,«նուիկ խոտը» Բժշ. ունի միայն ՀԲուս. § 1279։,merge_complete.py
ԿԱՃԱՌ,Etymology needs research,,", ի, ի-ա հլ. «հանդէս, ժողով, բազ-մութիւն, համախմբութիւն» Պիտ. Մամբր. Կոնկտ. որից կաճառանոց Ոսկ. եփես",merge_complete.py
ԿԱՃԻՆ,Etymology needs research,,տե՛ս Կարճին։,merge_complete.py
ԿԱՃԻՏ,Etymology needs research,,«սուրբ կամ նուրբ». ունի միայն Բառ. երեմ. էջ 153 և 157։,merge_complete.py
ԿԱՃՈՒԿ,Etymology needs research,,«խանձարուր» Հին բռ. և Բառ երեմ. էջ 154. ունի միայն ՀՀԲ. իսկ ՆՀԲ յի-շում է կաճ «թաղիք» բառի տակ։ Կոյլ,merge_complete.py
ԿԱՃՈՒՏ,Etymology needs research,,տե՛ս Կնճիթն։,merge_complete.py
ԿԱՄ,Etymology needs research,,«տուգանք»? տե՛ս Կոփար.,merge_complete.py
ԿԱՄԱԹ,Etymology needs research,,"«հաւասար, ā part egale» Ան-սիզք, էջ 49 (Եւ այս է սովորութեամբ ան-սիզն Անտաքոյ ընդ այրն և ընդ կինն, կ",merge_complete.py
ԿԱՄԱԽ,Etymology needs research,,", ի հլ. «պատարագ, ընծայ». ունի միայն Բառ. երեմ. էջ 154, որից է ՀՀԲ. ան-ստոյգ բառ. տե՛ս կմախի։",merge_complete.py
ԿԱՄԱՀԱՐԵԼ,Etymology needs research,,«արտահարել». ունի միայն Բառ. եռեմ. էջ 154. ի՛նչ լինելը յայտնի չէ։,merge_complete.py
ԿԱՄԱՄ,Etymology needs research,,"«ձիու տեսակ կամ անուն». նռ-րագիւտ բառ, որ մէկ անգամ գտնում եմ ղործածուած Ուռհ. 143 «Եւ տեսեալ զայն Դ",merge_complete.py
ԿԱՄԱՐՏԵԼ,Etymology needs research,,"«սահման քաշել». ունի միայն ՓԲ, որի հետ նոյն է կամարտայել «սահ-մանել» Բառ. երեմ. էջ 154։",merge_complete.py
ԿԱՄԲ,Etymology needs research,,", կամ կամբի, կամփի, կամբոս.-անստոյգ ընթերցուածներով և անորոշ նշա-նակութեամբ մի բառ. ունի միայն ՀԲուս",merge_complete.py
ԿԱՄԲԱԿ,Etymology needs research,,"«նախնի թագաւորաց կօշիկ կա-կուղ կաշիէ». ունի միայն ԳԲ, որի աղ-ռիւրն է անշուշտ Քաջունի, հտ. Գ. էջ 113։",merge_complete.py
ԿԱՄԲԱՆՔ,Etymology needs research,,«գիրք». ունի միայն Բառ. երեմ. էջ 154 և 164։,merge_complete.py
ԿԱՄԻԱՂ,Etymology needs research,,«շատինակ». ունի միայն Բառ. երեմ. էջ 154. (այս բառն էլ նշանակում է «մի տեսակ փայտէ աման». տե՛ս իմ Գա-,merge_complete.py
ԿԱՄԻՏ,Etymology needs research,,«կօճօղ». ունի միայն Բառ. երեմ. էջ 154. ինչ լինելը յայտնի չէ։,merge_complete.py
ԿԱՄԼԵԼ,Etymology needs research,,"«մէջքը կապել». մէկ անգամ ունի Ոսկիփ. «Ջարկի պաստառն, զոր Տէրն կամ-լեաց ի խաչին, որ արեամբ թացաւ»։",merge_complete.py
ԿԱՄԾ,Etymology needs research,,"-արմատ առանձին անգործածա-կան. գտնւում է կամշանալ և կամշոտիլ ան-ստոյգ բառերի մէջ, որոնք մի մի անգամ գ",merge_complete.py
ԿԱՄՔ,Etymology needs research,,". մի տեսակ անստոյգ բո՞յս. գտնը-ւում է միայն կամքաջուր բարդի մէջ, որ գիտէ միայն Ասար. ըստ ՀԲուս. § 33",merge_complete.py
ԿԱՅ,Etymology needs research,,"ի հլ. (մանաւանդ անեզաբար գոր-ձածուած) «կայան, կեցած տեղը, տեղ, վի-ճակ» ՍԳր. Եզն. Ոսկ. որից կայան «ևե",merge_complete.py
ԿԱՅԹ,Etymology needs research,,", ի հլ. «ցատկռտելը, ոտքի թփըր-տոց, ուրախութեան՝ ցնծութեան պար» Ա-մովս. զ. 5. որից կայթել «ուրախանալ,",merge_complete.py
ԿԱՅԿԱՅԻԼ,Etymology needs research,,տե՛ս Կայ։,merge_complete.py
ԿԱՅՄ,Etymology needs research,,"(ի հլ. ըստ ՆՀԲ, թէև առանց վկա-յութեան) «նաւի մէջ տնկուած սիւնը՝ որի վրայ առագաստ են պարզում» Ես. լգ.",merge_complete.py
ԿԱՅՌ,Etymology needs research,,"«մի տեսակ խոտ, cynomorium, orobanche, շան թութ» Ռոշք. ունին միայն ՀԲուս. § 1287 և Նորայր ՀԱ 1924, 72",merge_complete.py
ԿԱՅՍ,Etymology needs research,,"«օդը պղտորող մի տեսակ քամի». մէկ անգամ ունի Պիտառ. «Օդքն ծածկեն զճառագայթսն. կայս անուն է հողմըյն, ա",merge_complete.py
ԿԱՅՏ,Etymology needs research,,«բարաւոր». ունի միայն Բառ. ե-րեմ. էջ 155։,merge_complete.py
ԿԱՅՏԱՌ,Etymology needs research,,", ի-ա հլ. «աշխոյժ, առոյգ, ե-ռանդուն» ՍԳր. «ջրի և ցամաքի ամէն տե-սակ կենդանի», բայց մանաւանդ «ջրային ",merge_complete.py
ԿԱՅՏՌ,Etymology needs research,,"«նեղութիւն, տագնապալի վիճակ»» անստոյգ նորագիւտ բառ, որ մէկ անգամ գտնում եմ գործածուած Ոսկ. պօղ. ա. 4",merge_complete.py
ԿԱՆ,Etymology needs research,,«գիծ կամ նիզակ». ունի միայն Բառ. երեմ. էջ 152։,merge_complete.py
ԿԱՆԱՅՔ,Etymology needs research,,"«տանիքի խողովակները՝ որով անձրևաջուրը հաւաքւում է ջրամբարում». նորագիւտ բառ, որ մէկ անգամ ունի Վստկ ",merge_complete.py
ԿԱՆԱՏԻ,Etymology needs research,,. նորագիւտ բառ՝ անյայտ նշա-նակութեամբ. մէկ անգամ գտնում եմ գոր-ծածուած Մագ. թղ. 121 «Տաղմական զօ-րու,merge_complete.py
ԿԱՆԱՓՆԻՏՈՎ,Etymology needs research,,"«Պարսկաստանի յատուև մի ծառ՝ որ խնձորի նման պտուր ունև». նո-ռագիւտ բառ, որ մէկ անգամ գտնում եմ գործած",merge_complete.py
ԿԱՆԳ,Etymology needs research,,. արմատ առանձին անգործածա-կան. հին մատենագրութեան մէջ աւանդու-ած է միայն -ուն մասնիկով և սրանով ա-ծա,merge_complete.py
ԿԱՆԴ,Etymology needs research,,"(ի հլ. ըստ ՆՀԲ, թէև առանց վկա-յութեան) «արու արծիւ» Մագ. քեր. 240 և Երզն. քեր։ Ուրիշ վկայութիւն չկայ",merge_complete.py
ԿԱՆԴԱԿԵԼԻ,Etymology needs research,,«դրդուելի կամ շարժումն կամ անթիռն փանդռնահարաց մրցմունք կամ մորմոքումն կամ մրմնջումն». այսպէս ունի Բ,merge_complete.py
ԿԱՆԴԱՂ,Etymology needs research,,"«հաստատ». արմատ առանձին անգործածական. գտնւում է միայն կանդա-ղեալ «հաստատեալ» բառի մէջ, որ մէկ ան-գամ",merge_complete.py
ԿԱՆԴԻՌՆ,Etymology needs research,,«փանդռան ձայնը՝ հնչիւնը». ունի միայն ՓԲ. անստոյգ բառ. թերևս յար-մարեցրած փանդիռն բառից։,merge_complete.py
