Title	Complement	POS_1	Definition_1	POS_2	Definition_2	POS_3	Definition_3	POS_4	Definition_4	POS_5	Definition_5	POS_6	Definition_6
Ազնուապետական	ի, աց	adj.	aristocratic.										
Ազնուապետութիւն	ութեան	s.	aristocracy.										
Ազնուասիրտ		adj.	who has a noble heart.										
Ազնուասրտութիւն	ութեան	s.	nobility of heart.										
Ազնուատոհմ	ի, ից	adj.	noble, of a noble family.										
Ազնուատոհմութիւն	ութեան	s.	nobility of family, high birth.										
Ազնուացուցանեմ	ուցի	va.	to improve, to civilize; to refine; to confer a title, to grant nobility, to ennoble.										
Ազնուութիւն	ութեան	s.	fineness, goodness, costliness, excellence, rarity; genteelness, civility; dignity, nobility.										
Ազոխ	ից	s.	sour grapes.										
Ազոխաջուր	ջրոյ	s.	verjuice.										
Աթար	ի	s.	dry cow's dung.										
Աթոռ	ոց	s.	chair, seat; stool; throne; bench; նստուցանել յաթոռ, to make one sit on a throne or chair; to throne; նստել յաթոռ, to sit on a chair or throne; աթոռս արկանել, to give seats or chairs; ելանել յաթոռոյ, to rise up, to get up.										
Աթոռագործ	աց	s.	chair-maker.										
Աթոռաժառանգ		s.	possessor, successor to any place or dignity.										
Աթոռակ	աց	s.	stool; foot-stool.										
Աթոռակալ	աց	s.	vicar; vice-president; successor.										
Աթոռակալութիւն	ութեան	s.	vicarship, vicarage; possession of a chair, succession to a dignity.										
Աթոռակից	կցի, կցաց	s.	colleague or companion in the same dignity, or on the same throne.										
Աթոռակցութիւն	ութեան	s.	company on the same throne.										
Աթութայք	յից	s. pl.	elements, letters, characters, alphabet.										
Աթուր		adv.	cf. Առ՞՞՞աթուր.										
Աժան		adj. adv.	cheap, cheaply; — գնել, to buy cheaply.										
Աժէք	էից	s. pl.	value, price.										
Ալ	ի	s.	cf. Ալի.										
Ալապասար		s.	alabaster										
Ալաւունք		s. pl.	cf. Ալաւսունք.										
Ալաւսունք		s. pl.	the pleiades or pleiads; cf. Բազմաստեղք.										
Ալեզարդ		adj.	gray-haired, gray-headed.										
Ալեսաստ		adj.	cf. Ալիասաստ.										
Ալերախառն		adj.	farinaceous, mixed with flour, mealy.										
Ալերավաճառ		s.	meal-man.										
Ալեւոյթ	ութի	s.	cf. Ալեւորութիւն.										
Ալեւոր	աց	s.	gray-haired; old man.										
Ալեւորիմ	եցայ	vn.	to grow gray-haired, to grow old.										
Ալեւորութիւն	ութեան	s.	old age, the state of being gray-haired.										
Ալէլուիա		s.	hallelujah.										
Ալէխառն		adj.	gray, gray-haired.										
Ալէծուփ	Ալէկոծ	adj.	subject to tempests, tempest-beaten, floating, agitated, troubled; — առնեմ cf. Ալէկոծեմ; — լինիմ, cf. Ալէկոծիմ.										
